ADLL;AIBL;Send;2
ADLL;AIBL;Send;5
ADLL;AIBR;Send;1
ADLL;ALA;Send;2
ADLL;ASER;Send;1
ADLL;ASER;Send;2
ADLL;ASHL;Send;2
ADLL;AVAL;Send;2
ADLL;AVAR;Send;3
ADLL;AVBL;Send;2
ADLL;AVBL;Send;2
ADLL;AVDL;Send;1
ADLL;AVDR;Send;4
ADLL;AVDR;GapJunction;1
ADLL;AVHR;Receive (Join);1
ADLL;AVJL;Send;1
ADLL;AVJR;Send;3
ADLL;AWBL;Send;2
ADLL;CEPVL;Receive (Join);1
ADLL;OLQVL;Send;1
ADLL;OLQVL;GapJunction;1
ADLL;RIPL;Send;1
ADLL;RMGL;GapJunction;1
ADLL;SDQR;Receive (Join);1
ADLR;ADLL;GapJunction;1
ADLR;AIAR;Receive (Join);2
ADLR;AIAR;Send;2
ADLR;AIAR;Send;8
ADLR;AIBR;Send;10
ADLR;ASER;Send;1
ADLR;ASHR;Send;1
ADLR;ASHR;Send;2
ADLR;AVAR;Send;2
ADLR;AVBL;Send;1
ADLR;AVBR;Send;2
ADLR;AVDL;Send;1
ADLR;AVDL;Send;4
ADLR;AVDR;Send;2
ADLR;AVHR;Receive (Join);2
ADLR;AVJR;Send;1
ADLR;AVJR;Send;1
ADLR;AWCR;Send;3
ADLR;OLLR;Send;1
ADLR;PVCL;Send;1
ADLR;PVCL;Send;1
ADLR;RICL;Send;1
ADLR;RICR;Send;1
AFDL;AFDR;GapJunction;1
AFDL;AIBL;GapJunction;1
AFDL;AINR;Receive;3
AFDL;AINR;Receive (Join);1
AFDL;AINR;Send;1
AFDL;AIYL;Send;7
AFDL;ASER;Receive;1
AFDL;ASER;Receive (Join);1
AFDL;AWAL;Receive;1
AFDL;AWAL;Receive (Join);4
AFDR;AFDL;GapJunction;1
AFDR;AIBR;GapJunction;1
AFDR;AINL;Receive;2
AFDR;AINL;Receive (Join);3
AFDR;AINR;Receive (Join);1
AFDR;AIYR;Send;12
AFDR;AIYR;Send;1
AFDR;ASER;Receive (Join);2
AFDR;ASER;Send;1
AFDR;AWAR;Receive;1
AFDR;AWAR;Receive (Join);6
AFDR;RIR;Receive (Join);1
AIAL;ADAL;Send;1
AIAL;ADLL;Receive;2
AIAL;ADLL;Receive (Join);4
AIAL;AIAR;GapJunction;1
AIAL;AIBL;Send;3
AIAL;AIBL;Send;7
AIAL;AIML;Receive;1
AIAL;AIML;Receive (Join);4
AIAL;AIML;Send;2
AIAL;AINR;Receive (Join);2
AIAL;AIZL;Receive (Join);3
AIAL;AIZL;Send;1
AIAL;ASEL;Receive (Join);3
AIAL;ASER;Receive;1
AIAL;ASER;Receive (Join);1
AIAL;ASER;Send;1
AIAL;ASER;Send;2
AIAL;ASGL;Receive;6
AIAL;ASGL;Receive (Join);3
AIAL;ASGL;Send;1
AIAL;ASHL;Receive;5
AIAL;ASHL;Receive (Join);2
AIAL;ASHL;Send;1
AIAL;ASIL;GapJunction;2
AIAL;ASIR;Receive (Join);1
AIAL;ASKL;Receive;7
AIAL;ASKL;Receive (Join);4
AIAL;ASKL;Send;2
AIAL;ASKL;Send;1
AIAL;AWAL;GapJunction;1
AIAL;AWCL;Receive;2
AIAL;AWCR;Send;1
AIAL;HSNL;Receive (Join);1
AIAL;HSNL;Send;1
AIAL;PVQL;Receive;3
AIAL;PVQL;Receive (Join);3
AIAL;RIFL;Send;1
